field_name,type,required,description,example,range
patient_id,string,yes,Unique ID for the patient,P001,
timestamp,datetime,yes,Time recorded in UTC,2025-08-22T09:30:00Z,
heart_rate,int,yes,Beats per minute,72,30-220
spo2,int,yes,Oxygen % level,98,70-100
resp_rate,int,no,Breaths per min,16,4-60
temp,float,no,Body temp in Celsius,36.8,30-43
systolic_bp,int,no,Top blood pressure value,118,60-260
diastolic_bp,int,no,Bottom blood pressure value,76,30-160
device,string,no,Device that logged the data,Fitbit,
quality_flag,string,no,Data quality status,ok,ok|suspect|missing
