Fold,Features,Model,Accuracy,F1_macro
1,TFIDF(1–2) + lex,LogReg,0.975,0.9463203463203463
1,TFIDF(1–2) + lex,LinearSVM,0.975,0.9463203463203463
2,TFIDF(1–2) + lex,LogReg,0.975,0.9274853801169591
2,TFIDF(1–2) + lex,LinearSVM,0.975,0.9274853801169591
3,TFIDF(1–2) + lex,LogReg,0.975,0.9270440251572327
3,TFIDF(1–2) + lex,LinearSVM,0.975,0.9270440251572327
4,TFIDF(1–2) + lex,LogReg,0.95,0.9538461538461539
4,TFIDF(1–2) + lex,LinearSVM,0.975,0.9775910364145659
5,TFIDF(1–2) + lex,LogReg,1.0,1.0
5,TFIDF(1–2) + lex,LinearSVM,1.0,1.0
1,TFIDF(1–3) + lex,LogReg,0.975,0.9463203463203463
1,TFIDF(1–3) + lex,LinearSVM,0.975,0.9463203463203463
2,TFIDF(1–3) + lex,LogReg,0.975,0.9274853801169591
2,TFIDF(1–3) + lex,LinearSVM,0.975,0.9274853801169591
3,TFIDF(1–3) + lex,LogReg,0.975,0.9270440251572327
3,TFIDF(1–3) + lex,LinearSVM,0.975,0.9270440251572327
4,TFIDF(1–3) + lex,LogReg,0.95,0.9538461538461539
4,TFIDF(1–3) + lex,LinearSVM,0.975,0.9775910364145659
5,TFIDF(1–3) + lex,LogReg,1.0,1.0
5,TFIDF(1–3) + lex,LinearSVM,1.0,1.0
